ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height(cm),Weight(kg),Release Clause,Kit Number
224334,M. Acuña,30,https://cdn.sofifa.net/players/224/334/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,85,85,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,46500000,46000,2303,Left,2.0,3.0,3.0,High/ High,Stocky (170-185),LB,,172,69,97700000,19.0
197445,D. Alaba,30,https://cdn.sofifa.net/players/197/445/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,86,86,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,55500000,220000,2277,Left,4.0,4.0,3.0,Medium/ Medium,Normal (170-185),LCB,,180,78,113800000,4.0
210514,João Cancelo,28,https://cdn.sofifa.net/players/210/514/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,82500000,250000,2262,Right,3.0,4.0,4.0,High/ Medium,Unique,LB,,182,74,152600000,7.0
193082,J. Cuadrado,34,https://cdn.sofifa.net/players/193/082/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,83,83,Juventus,https://cdn.sofifa.net/teams/45/30.png,13500000,120000,2234,Right,3.0,3.0,5.0,High/ Medium,Lean (170-185),RB,,179,72,23000000,11.0
231281,T. Alexander-Arnold,23,https://cdn.sofifa.net/players/231/281/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,87,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,100500000,150000,2234,Right,3.0,4.0,3.0,High/ Medium,Unique,RB,,180,69,193500000,66.0
235212,A. Hakimi,23,https://cdn.sofifa.net/players/235/212/23_60.png,Morocco,https://cdn.sofifa.net/flags/ma.png,84,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,53500000,90000,2229,Right,2.0,4.0,4.0,High/ Medium,Lean (170-185),RWB,,181,73,103000000,2.0
238074,R. James,22,https://cdn.sofifa.net/players/238/074/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,84,88,Chelsea,https://cdn.sofifa.net/teams/5/30.png,57000000,120000,2225,Right,2.0,3.0,3.0,High/ Medium,Stocky (170-185),RWB,,178,87,109700000,24.0
189332,Jordi Alba,33,https://cdn.sofifa.net/players/189/332/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,85,85,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,28000000,190000,2218,Left,3.0,3.0,3.0,High/ Medium,Unique,LB,,170,68,57400000,18.0
220651,Angeliño,25,https://cdn.sofifa.net/players/220/651/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,85,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,42000000,64000,2209,Left,2.0,3.0,4.0,High/ High,Normal (170-185),LWB,RB Leipzig,171,69,0,11.0
200458,L. Digne,28,https://cdn.sofifa.net/players/200/458/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,82,82,Aston Villa,https://cdn.sofifa.net/teams/2/30.png,27500000,100000,2206,Left,2.0,2.0,3.0,High/ Medium,Unique,LB,,178,74,52300000,27.0
188377,K. Walker,32,https://cdn.sofifa.net/players/188/377/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,37500000,170000,2196,Right,3.0,2.0,3.0,High/ High,Unique,RB,,183,83,69400000,2.0
232656,T. Hernández,24,https://cdn.sofifa.net/players/232/656/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,85,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,76000000,82000,2195,Left,3.0,3.0,3.0,High/ Medium,Unique,LB,,184,81,134900000,19.0
195479,J. Tavernier,30,https://cdn.sofifa.net/players/195/479/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,78,78,Rangers FC,https://cdn.sofifa.net/teams/86/30.png,12000000,51000,2191,Right,1.0,3.0,3.0,High/ Medium,Lean (185+),RB,,182,75,21600000,2.0
210035,Grimaldo,26,https://cdn.sofifa.net/players/210/035/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,82,85,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,36500000,19000,2184,Left,3.0,2.0,3.0,High/ Medium,Lean (170-185),LB,,172,67,75700000,3.0
186345,K. Trippier,31,https://cdn.sofifa.net/players/186/345/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,84,84,Newcastle United,https://cdn.sofifa.net/teams/13/30.png,30500000,120000,2181,Right,2.0,4.0,3.0,Medium/ Medium,Normal (170-185),RB,,173,71,58000000,2.0
183512,Yuri Berchiche,32,https://cdn.sofifa.net/players/183/512/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,82,82,Athletic Club de Bilbao,https://cdn.sofifa.net/teams/448/30.png,21000000,35000,2176,Left,2.0,3.0,3.0,High/ Medium,Normal (170-185),LB,,181,80,44100000,17.0
209889,R. Guerreiro,28,https://cdn.sofifa.net/players/209/889/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,82,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,27500000,57000,2171,Left,3.0,2.0,4.0,High/ Low,Normal (170-),LB,,170,71,46800000,13.0
234396,A. Davies,21,https://cdn.sofifa.net/players/234/396/23_60.png,Canada,https://cdn.sofifa.net/flags/ca.png,84,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,60500000,59000,2170,Left,3.0,4.0,4.0,High/ Low,Unique,LB,,185,77,104400000,19.0
146536,Jesús Navas,36,https://cdn.sofifa.net/players/146/536/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,83,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,8000000,28000,2169,Right,2.0,2.0,4.0,High/ Medium,Lean (170-),RB,,172,60,16800000,16.0
210243,Ricardo Pereira,28,https://cdn.sofifa.net/players/210/243/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,83,83,Leicester City,https://cdn.sofifa.net/teams/95/30.png,33000000,105000,2168,Right,3.0,4.0,3.0,High/ High,Unique,RB,,175,70,62700000,21.0
201389,C. Biraghi,29,https://cdn.sofifa.net/players/201/389/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,80,80,Fiorentina,https://cdn.sofifa.net/teams/110374/30.png,18500000,58000,2159,Left,2.0,3.0,3.0,Medium/ Medium,Normal (185+),LB,,185,78,31500000,3.0
228618,F. Mendy,27,https://cdn.sofifa.net/players/228/618/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,83,84,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,38000000,170000,2158,Left,1.0,5.0,4.0,High/ High,Unique,LB,,180,73,80800000,23.0
216267,A. Robertson,28,https://cdn.sofifa.net/players/216/267/23_60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,87,87,Liverpool,https://cdn.sofifa.net/teams/9/30.png,72000000,185000,2154,Left,3.0,2.0,3.0,High/ High,Unique,LB,,178,64,133199999,26.0
215071,M. Casco,34,https://cdn.sofifa.net/players/215/071/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,77,77,River Plate,https://cdn.sofifa.net/teams/1876/30.png,3900000,17000,2148,Right,1.0,5.0,3.0,High/ Low,Stocky (170-),RB,,170,69,5500000,20.0
121939,17 P. Lahm,32,https://cdn.sofifa.net/players/121/939/17_60.png,Germany,https://cdn.sofifa.net/flags/de.png,88,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,29500000,200000,2146,Right,4.0,3.0,3.0,Medium/ High,Normal (170-),RB,,170,66,0,21.0
