ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height(cm),Weight(kg),Release Clause,Kit Number
209658,L. Goretzka,27,https://cdn.sofifa.net/players/209/658/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,87,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,91000000,115000,2312,Right,4.0,4.0,3.0,High/ Medium,Unique,SUB,,189,82,157000000,8.0
208333,E. Can,28,https://cdn.sofifa.net/players/208/333/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,82,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,30500000,63000,2271,Right,3.0,4.0,3.0,Medium/ High,Stocky (185+),SUB,,186,86,51900000,23.0
212616,R. De Paul,28,https://cdn.sofifa.net/players/212/616/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,84,84,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,42000000,85000,2240,Right,1.0,3.0,4.0,High/ Medium,Normal (170-185),SUB,,180,70,86100000,5.0
181458,I. Perišić,33,https://cdn.sofifa.net/players/181/458/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,84,84,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,26500000,130000,2238,Right,3.0,5.0,4.0,High/ Medium,Lean (185+),SUB,,186,80,50400000,14.0
194765,A. Griezmann,31,https://cdn.sofifa.net/players/194/765/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,83,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,30500000,185000,2235,Left,4.0,3.0,4.0,Medium/ Medium,Unique,RS,FC Barcelona,176,73,0,8.0
176580,L. Suárez,35,https://cdn.sofifa.net/players/176/580/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,84,84,Club Nacional de Football,https://cdn.sofifa.net/teams/111325/30.png,18000000,1000,2231,Right,4.0,4.0,3.0,High/ Medium,Unique,LS,,182,86,39600000,9.0
209331,M. Salah,30,https://cdn.sofifa.net/players/209/331/23_60.png,Egypt,https://cdn.sofifa.net/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,115500000,270000,2226,Left,4.0,3.0,4.0,High/ Medium,Unique,RW,,175,71,213700000,11.0
213565,T. Lemar,26,https://cdn.sofifa.net/players/213/565/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,83,86,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,47000000,74000,2215,Left,3.0,3.0,4.0,High/ High,Lean (170-185),SUB,,171,63,99900000,11.0
230767,Renato Sanches,24,https://cdn.sofifa.net/players/230/767/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,80,86,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,33000000,72000,2215,Right,3.0,4.0,4.0,High/ High,Normal (170-185),SUB,,176,70,67700000,11.0
212462,Alex Telles,29,https://cdn.sofifa.net/players/212/462/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,80,80,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,18500000,110000,2213,Left,3.0,2.0,3.0,High/ Low,Unique,SUB,Manchester United,181,71,0,3.0
231969,R. Malinovskyi,29,https://cdn.sofifa.net/players/231/969/23_60.png,Ukraine,https://cdn.sofifa.net/flags/ua.png,82,82,Atalanta,https://cdn.sofifa.net/teams/39/30.png,30500000,73000,2213,Left,3.0,4.0,4.0,Medium/ Medium,Stocky (170-185),LF,,181,79,51900000,18.0
230938,F. Kessié,25,https://cdn.sofifa.net/players/230/938/23_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,84,86,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,47500000,165000,2206,Right,3.0,4.0,3.0,High/ High,Normal (170-185),SUB,,183,88,100900000,19.0
188545,R. Lewandowski,33,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,91,91,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,84000000,420000,2205,Right,5.0,4.0,4.0,High/ Medium,Unique,ST,,185,81,172200000,9.0
181872,22 A. Vidal,34,https://cdn.sofifa.net/players/181/872/22_60.png,Chile,https://cdn.sofifa.net/flags/cl.png,81,81,Inter,https://cdn.sofifa.net/teams/44/30.png,12000000,105000,2199,Right,4.0,4.0,3.0,High/ High,Unique,SUB,,180,75,20400000,22.0
232411,C. Nkunku,24,https://cdn.sofifa.net/players/232/411/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,86,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,94000000,90000,2196,Right,3.0,3.0,5.0,High/ Medium,Normal (170-185),SUB,,175,73,166900000,12.0
186942,İ. Gündoğan,31,https://cdn.sofifa.net/players/186/942/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,44000000,185000,2195,Right,3.0,4.0,4.0,High/ Medium,Normal (170-185),SUB,,180,80,81400000,8.0
214097,B. Bourigeaud,28,https://cdn.sofifa.net/players/214/097/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,81,81,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,26000000,66000,2194,Right,2.0,3.0,3.0,High/ High,Lean (170-185),RW,,178,68,49400000,14.0
202126,H. Kane,28,https://cdn.sofifa.net/players/202/126/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,89,89,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,105500000,240000,2193,Right,4.0,5.0,3.0,High/ High,Unique,ST,,188,89,200500000,10.0
158023,L. Messi,35,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,91,91,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,54000000,195000,2190,Left,5.0,4.0,4.0,Low/ Low,Unique,RW,,169,67,99900000,30.0
239053,F. Valverde,23,https://cdn.sofifa.net/players/239/053/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,84,90,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,66000000,175000,2188,Right,1.0,4.0,3.0,High/ High,Unique,SUB,,182,78,148500000,15.0
208722,S. Mané,30,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,89,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,99500000,145000,2188,Right,4.0,4.0,4.0,High/ Medium,Unique,ST,,174,69,164200000,17.0
205632,L. Ocampos,27,https://cdn.sofifa.net/players/205/632/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,27500000,39000,2188,Right,2.0,3.0,4.0,High/ High,Normal (185+),SUB,,188,84,57800000,5.0
224458,Diogo Jota,25,https://cdn.sofifa.net/players/224/458/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,85,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,76000000,170000,2183,Right,2.0,5.0,4.0,High/ High,Normal (170-185),SUB,,178,73,146300000,20.0
173210,19 C. Marchisio,31,https://cdn.sofifa.net/players/173/210/19_60.png,Italy,https://cdn.sofifa.net/flags/it.png,84,84,Juventus,https://cdn.sofifa.net/teams/45/30.png,19500000,130000,2179,Right,3.0,4.0,3.0,High/ High,Normal (170-185),RES,,180,74,32200000,8.0
193283,T. Delaney,30,https://cdn.sofifa.net/players/193/283/23_60.png,Denmark,https://cdn.sofifa.net/flags/dk.png,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,21500000,33000,2177,Left,2.0,4.0,2.0,Low/ High,Normal (170-185),SUB,,182,79,45200000,18.0
231747,K. Mbappé,23,https://cdn.sofifa.net/players/231/747/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,91,95,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,190500000,230000,2177,Right,4.0,4.0,5.0,High/ Low,Unique,ST,,182,73,366700000,7.0
193165,J. Corona,29,https://cdn.sofifa.net/players/193/165/23_60.png,Mexico,https://cdn.sofifa.net/flags/mx.png,81,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,25500000,40000,2175,Right,3.0,5.0,5.0,Medium/ Medium,Normal (170-185),RW,,173,66,53600000,9.0
204923,M. Sabitzer,28,https://cdn.sofifa.net/players/204/923/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,80,80,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,21000000,67000,2172,Right,3.0,4.0,3.0,High/ High,Normal (170-185),SUB,,178,76,34700000,18.0
