ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height(cm),Weight(kg),Release Clause,Kit Number
212198,Bruno Fernandes,27,https://cdn.sofifa.net/players/212/198/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,86,87,Manchester United,https://cdn.sofifa.net/teams/11/30.png,78500000,190000,2305,Right,3.0,3.0,4.0,High/ High,Unique,LCM,,179,69,155000000,8.0
192985,K. De Bruyne,31,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,91,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,107500000,350000,2303,Right,4.0,5.0,4.0,High/ High,Unique,RCM,,181,70,198900000,17.0
224232,N. Barella,25,https://cdn.sofifa.net/players/224/232/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,86,89,Inter,https://cdn.sofifa.net/teams/44/30.png,89500000,110000,2296,Right,3.0,3.0,3.0,High/ High,Normal (170-),RCM,,172,68,154400000,23.0
212622,J. Kimmich,27,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,89,90,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,105500000,130000,2283,Right,4.0,4.0,3.0,High/ Medium,Normal (170-185),RDM,,177,75,182000000,6.0
187961,22 Paulinho,32,https://cdn.sofifa.net/players/187/961/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,83,83,Al Ahli,https://cdn.sofifa.net/teams/112387/30.png,28500000,61000,2273,Right,3.0,4.0,4.0,High/ High,Normal (170-185),LCM,,183,80,48500000,15.0
228251,L. Pellegrini,26,https://cdn.sofifa.net/players/228/251/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,84,87,Roma,https://cdn.sofifa.net/teams/52/30.png,55000000,95000,2258,Right,2.0,4.0,3.0,High/ High,Lean (185+),RCM,,186,77,97600000,7.0
177003,L. Modrić,36,https://cdn.sofifa.net/players/177/003/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,88,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,29000000,230000,2257,Right,4.0,4.0,4.0,Medium/ Medium,Lean (170-185),RCM,,172,66,59500000,10.0
223848,S. Milinković-Savić,27,https://cdn.sofifa.net/players/223/848/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,86,87,Lazio,https://cdn.sofifa.net/teams/46/30.png,77500000,90000,2250,Right,3.0,5.0,4.0,High/ Medium,Normal (185+),RCM,,191,76,137600000,21.0
225193,Merino,26,https://cdn.sofifa.net/players/225/193/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,86,Real Sociedad,https://cdn.sofifa.net/teams/457/30.png,47000000,49000,2247,Left,1.0,3.0,3.0,High/ High,Normal (185+),LCM,,189,83,102200000,8.0
226161,Marcos Llorente,27,https://cdn.sofifa.net/players/226/161/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,84,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,48000000,81000,2244,Right,3.0,4.0,3.0,High/ Medium,Lean (170-185),RCM,,184,74,102000000,14.0
228702,F. de Jong,25,https://cdn.sofifa.net/players/228/702/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,116500000,230000,2238,Right,3.0,3.0,4.0,High/ Medium,Unique,RCM,,180,74,247600000,21.0
208574,F. Kostić,29,https://cdn.sofifa.net/players/208/574/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,85,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,53000000,56000,2234,Left,3.0,2.0,3.0,High/ High,Normal (170-185),LM,,184,84,90100000,10.0
216352,M. Brozović,29,https://cdn.sofifa.net/players/216/352/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,86,86,Inter,https://cdn.sofifa.net/teams/44/30.png,58000000,110000,2227,Right,3.0,4.0,3.0,Medium/ Medium,Lean (170-185),CDM,,181,68,95700000,77.0
241096,S. Tonali,22,https://cdn.sofifa.net/players/241/096/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,84,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,62500000,75000,2225,Right,1.0,4.0,3.0,Medium/ High,Unique,RCM,,181,79,118800000,8.0
189509,Thiago,31,https://cdn.sofifa.net/players/189/509/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,86,86,Liverpool,https://cdn.sofifa.net/teams/9/30.png,55500000,180000,2225,Right,3.0,3.0,5.0,Medium/ Medium,Normal (170-185),LCM,,174,70,102700000,6.0
190286,Canales,31,https://cdn.sofifa.net/players/190/286/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,84,84,Real Betis Balompié,https://cdn.sofifa.net/teams/449/30.png,35000000,42000,2213,Left,2.0,3.0,4.0,High/ Medium,Lean (170-185),RM,,176,65,73500000,10.0
226754,I. Bennacer,24,https://cdn.sofifa.net/players/226/754/23_60.png,Algeria,https://cdn.sofifa.net/flags/dz.png,82,86,AC Milan,https://cdn.sofifa.net/teams/47/30.png,40000000,63000,2213,Left,2.0,3.0,4.0,High/ Medium,Lean (170-185),LCM,,175,70,71000000,4.0
238744,W. McKennie,23,https://cdn.sofifa.net/players/238/744/23_60.png,United States,https://cdn.sofifa.net/flags/us.png,80,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,31500000,90000,2212,Right,2.0,3.0,3.0,High/ High,Normal (170-185),LCM,,183,84,55900000,14.0
200145,Casemiro,30,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,89,89,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,86000000,300000,2209,Right,3.0,3.0,2.0,Medium/ High,Unique,CDM,,185,84,176300000,14.0
240699,N. De la Cruz,25,https://cdn.sofifa.net/players/240/699/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,78,79,River Plate,https://cdn.sofifa.net/teams/1876/30.png,16500000,19000,2197,Right,1.0,4.0,4.0,High/ High,Normal (170-),RM,,167,65,24300000,11.0
223697,R. Gosens,27,https://cdn.sofifa.net/players/223/697/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,82,82,Inter,https://cdn.sofifa.net/teams/44/30.png,29500000,59000,2193,Left,3.0,3.0,3.0,High/ Medium,Normal (170-185),LM,Atalanta,183,76,0,8.0
181291,G. Wijnaldum,31,https://cdn.sofifa.net/players/181/291/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,80,80,Roma,https://cdn.sofifa.net/teams/52/30.png,17500000,83000,2193,Right,3.0,4.0,3.0,High/ High,Unique,LCM,Paris Saint-Germain,175,74,0,25.0
219683,C. Tolisso,27,https://cdn.sofifa.net/players/219/683/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,81,81,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,27500000,75000,2193,Right,3.0,3.0,3.0,High/ Medium,Normal (170-185),RCM,,181,81,52300000,88.0
193747,Koke,30,https://cdn.sofifa.net/players/193/747/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,83,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,34500000,74000,2192,Right,3.0,4.0,3.0,Medium/ Medium,Normal (170-185),LCM,,176,77,70700000,6.0
183711,J. Henderson,32,https://cdn.sofifa.net/players/183/711/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,83,83,Liverpool,https://cdn.sofifa.net/teams/9/30.png,28500000,135000,2190,Right,3.0,3.0,3.0,High/ High,Normal (170-185),RCM,,182,80,52700000,14.0
199556,M. Verratti,29,https://cdn.sofifa.net/players/199/556/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,87,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,77500000,155000,2189,Right,3.0,4.0,4.0,Medium/ High,Unique,RCM,,165,60,143400000,6.0
214047,M. Uribe,31,https://cdn.sofifa.net/players/214/047/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,81,81,FC Porto,https://cdn.sofifa.net/teams/236/30.png,21000000,19000,2189,Right,1.0,4.0,3.0,Medium/ High,Normal (170-185),RCM,,183,77,42000000,8.0
233927,Lucas Paquetá,24,https://cdn.sofifa.net/players/233/927/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,82,87,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,46000000,70000,2188,Left,2.0,4.0,5.0,High/ High,Normal (170-185),LCM,,180,72,90900000,10.0
202648,Sergi Darder,28,https://cdn.sofifa.net/players/202/648/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,82,82,RCD Espanyol de Barcelona,https://cdn.sofifa.net/teams/452/30.png,30500000,30000,2188,Right,1.0,3.0,3.0,Medium/ Medium,Lean (170-185),CAM,,180,71,64099999,10.0
216393,Y. Tielemans,25,https://cdn.sofifa.net/players/216/393/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,84,86,Leicester City,https://cdn.sofifa.net/teams/95/30.png,52500000,115000,2187,Right,2.0,5.0,4.0,Medium/ Medium,Normal (170-185),RDM,,176,72,103700000,8.0
209297,Fred,29,https://cdn.sofifa.net/players/209/297/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,80,80,Manchester United,https://cdn.sofifa.net/teams/11/30.png,20500000,120000,2186,Left,3.0,3.0,4.0,High/ High,Lean (170-),CDM,,169,62,39000000,17.0
